sound_ID,emotion,intensity,Ave,Max,Min,range,Std,Grow_rate,temp
0799_2,Happiness,3,98.5,100,97,3,2.121320344,0.030927835,-0.931149584
0809_2,Happiness,1,102.5,103,102,1,0.707106781,0.009803922,-0.931149584
0825_2,Sadness,1,94.5,95,94,1,0.707106781,0.010638298,-0.756149584
0826_2,Sadness,2,97,97,97,0,0,0,-0.756149584
0867_2,Happiness,2,96,96,96,0,0,0,-0.756149584
0897_2,Fear,1,94,95,93,2,1.414213562,0.021505376,-0.756149584
0907_2,Fear,2,94.5,95,94,1,0.707106781,0.010638298,-0.651149584
0908_2,Happiness,2,96,96,96,0,0,0,-0.651149584
0918_2,Sadness,1,93.66666667,96,92,4,2.081665999,0.043478261,-0.651149584
0919_2,Happiness,6,90,90,90,0,0,0,-0.651149584
0920_2,Happiness,7,91.5,92,91,1,0.707106781,0.010989011,-0.636149584
0921_2,Happiness,2,92.33333333,94,91,3,1.527525232,0.032967033,-0.636149584
0928_2,Sadness,1,91.66666667,93,90,3,1.527525232,0.033333333,-0.636149584
0938_2,Fear,2,92,93,91,2,1,0.021978022,-0.636149584
0942_2,Sadness,2,91.5,92,91,1,0.707106781,0.010989011,-0.711149584
0957_2,Sadness,2,92.66666667,93,92,1,0.577350269,0.010869565,-0.711149584
0960_2,Sadness,2,93,95,91,4,2,0.043956044,-0.811149584
0981_2,Happiness,2,92,92,92,0,0,0,-0.811149584
0999_2,Happiness,2,91,91,91,0,0,0,-0.811149584
1001_2,Sadness,2,89.5,90,89,1,0.707106781,0.011235955,-0.846149584
1041_2,Sadness,3,87.5,88,87,1,0.707106781,0.011494253,-0.846149584
1042_2,Fear,2,88.33333333,89,88,1,0.577350269,0.011363636,-0.846149584
1044_2,Sadness,2,88.5,89,88,1,0.707106781,0.011363636,-0.846149584
1045_2,Sadness,3,88.5,89,88,1,0.707106781,0.011363636,-0.871149584
1066_2,Sadness,2,87.5,88,87,1,0.707106781,0.011494253,-0.871149584
1159_2,Happiness,6,87,87,87,0,0,0,-0.871149584
0275_2,Happiness,5,93.5,94,93,1,0.707106781,0.010752688,-0.921149584
